A,B,C,D,E,F,G,H,I,J,K,L,R,S,T,U,V,W,Res,f
5.26,70.24,167.36,36.49,40.95,61.59,50.82,42.52,17.97,6.58,1.30,1.95,141.82,37.97,16.66,9.23,6.46,4.77,784,f
5.26,70.24,167.36,37.32,40.95,61.59,55.01,44.20,18.44,7.05,1.96,1.95,146.39,40.14,16.66,9.23,6.46,4.77,996,f
5.26,70.24,168.22,37.32,40.95,61.59,59.79,46.44,18.92,7.52,1.96,1.95,153.25,41.23,17.54,9.23,6.46,4.77,1006,f
5.26,71.19,169.08,37.32,41.60,62.19,66.37,49.80,19.86,7.99,1.96,1.95,160.11,44.48,17.54,10.07,7.38,5.96,708,f
5.26,71.19,169.94,38.15,41.60,62.78,74.14,53.16,20.34,8.46,1.96,1.95,169.26,46.65,18.41,10.07,8.30,5.96,1023,f
5.26,71.19,170.80,38.15,42.25,63.37,83.71,57.63,21.28,9.40,1.96,1.95,178.41,49.91,19.29,10.91,8.30,7.15,1023,f
5.26,71.19,171.65,38.98,42.25,63.96,96.86,63.79,22.70,10.34,1.96,1.95,190.99,54.24,20.17,11.75,10.14,8.34,1023,f
5.26,72.14,172.51,38.98,42.90,64.55,113.60,71.06,24.12,11.75,1.96,1.95,208.15,58.58,21.04,12.59,11.07,9.53,877,f
5.26,72.14,173.37,39.81,43.55,65.74,136.92,81.13,26.01,13.16,2.61,1.95,229.88,65.09,21.92,12.59,12.91,10.72,974,f
5.26,73.09,174.23,40.64,44.20,66.33,168.02,94.00,28.38,15.51,2.61,1.95,263.05,73.77,23.67,14.26,15.68,14.30,855,f
5.26,73.09,175.95,41.47,44.85,67.52,210.47,112.46,30.74,18.80,3.26,2.93,311.08,86.79,26.31,15.94,19.37,17.87,1023,f
5.26,73.09,178.52,43.12,46.15,69.88,264.28,142.68,35.47,23.50,3.91,2.93,383.13,105.23,29.81,18.46,24.90,25.02,933,f
6.13,74.04,181.10,44.78,48.10,72.85,318.69,183.52,42.09,29.14,4.56,2.93,486.06,136.70,34.20,22.65,33.20,32.17,945,f
6.13,74.99,185.39,47.27,50.70,76.40,364.13,228.29,52.97,34.31,5.22,3.91,643.89,192.03,40.33,29.37,45.19,46.47,723,f
6.13,76.89,189.68,50.59,53.95,81.14,385.66,269.13,68.58,38.07,6.52,4.88,837.17,279.90,49.98,39.44,58.10,57.19,1023,f
6.13,78.79,196.54,57.22,60.45,90.02,347.99,276.97,81.82,38.54,7.82,5.86,1036.17,389.48,65.76,53.70,67.32,61.96,735,f
7.01,82.58,205.99,66.34,70.19,103.64,259.50,217.66,78.04,31.96,7.82,6.84,1180.27,441.55,81.55,67.96,68.25,51.23,1023,f
7.01,89.23,222.29,88.74,92.29,131.48,136.33,142.12,51.08,22.56,6.52,5.86,902.36,245.19,87.68,55.38,35.97,19.06,1023,f
8.76,105.37,257.48,160.06,152.74,203.14,25.11,46.44,22.70,9.40,3.91,3.91,287.06,37.97,39.46,17.62,7.38,2.38,701,f
14.02,175.61,391.37,280.31,278.83,358.90,23.92,26.30,11.82,4.70,1.30,1.95,100.64,15.19,18.41,8.39,3.69,1.19,1023,f
24.53,305.66,658.29,234.69,265.18,339.95,24.51,26.86,12.30,4.70,1.30,1.95,88.06,11.93,14.03,5.03,2.77,1.19,1006,f
5.26,115.81,273.79,30.68,44.85,64.55,26.31,29.10,13.72,4.70,1.96,1.95,92.64,13.02,14.03,5.03,2.77,1.19,1023,f
5.26,111.06,260.91,30.68,44.20,63.96,26.91,29.65,13.72,5.17,1.96,1.95,93.78,13.02,14.03,5.87,2.77,1.19,680,f
5.26,109.16,254.05,30.68,43.55,63.37,26.91,29.65,13.72,5.17,1.96,1.95,93.78,13.02,14.03,5.03,2.77,1.19,1023,f
5.26,109.16,253.19,30.68,43.55,62.78,26.91,29.65,13.72,5.17,1.30,1.95,94.93,13.02,14.03,5.87,2.77,1.19,996,f
5.26,110.11,258.34,30.68,44.20,63.96,26.91,29.65,13.72,5.17,1.96,1.95,94.93,13.02,14.03,5.87,2.77,1.19,1023,f
5.26,111.06,260.06,30.68,44.20,63.96,26.91,29.65,13.72,5.17,1.96,1.95,93.78,13.02,14.03,5.87,2.77,1.19,1006,f
5.26,112.01,261.77,30.68,44.20,64.55,26.91,29.65,13.72,5.17,1.96,1.95,94.93,13.02,14.03,5.87,2.77,1.19,1023,f
5.26,112.01,260.91,30.68,44.20,64.55,26.91,29.65,13.72,5.17,1.96,1.95,94.93,13.02,14.03,5.87,2.77,1.19,876,f
5.26,112.01,260.91,30.68,44.20,63.96,26.91,29.65,13.72,5.17,1.96,1.95,94.93,13.02,14.03,5.87,2.77,1.19,1012,f
5.26,112.01,260.91,30.68,44.20,63.96,26.91,29.65,13.72,5.17,1.96,1.95,94.93,14.10,14.03,5.87,2.77,1.19,873,f
5.26,112.01,260.91,30.68,44.20,63.96,26.91,29.65,13.72,5.17,1.96,1.95,94.93,14.10,14.03,5.87,2.77,1.19,1006,f
5.26,112.01,261.77,30.68,44.20,63.96,26.91,29.65,13.72,5.17,1.96,1.95,94.93,14.10,14.03,5.87,2.77,1.19,1023,f
5.26,112.01,261.77,30.68,44.20,63.96,26.91,29.65,13.72,5.17,1.96,1.95,94.93,14.10,14.03,5.87,2.77,1.19,1023,f
5.26,112.01,261.77,30.68,44.20,63.96,26.91,29.65,13.72,5.17,1.96,1.95,94.93,14.10,14.03,5.87,2.77,1.19,1015,f
5.26,112.01,261.77,30.68,44.20,63.96,26.91,29.65,13.72,5.17,1.96,1.95,94.93,14.10,14.03,5.87,2.77,1.19,712,f
5.26,112.01,260.91,30.68,43.55,63.96,26.91,29.65,13.72,5.17,1.30,1.95,94.93,14.10,14.03,5.87,2.77,1.19,740,f
5.26,111.06,260.91,30.68,43.55,63.96,26.91,29.65,13.72,5.17,1.96,1.95,94.93,14.10,14.03,5.87,2.77,1.19,846,f
5.26,111.06,260.91,30.68,43.55,63.96,26.91,29.65,13.72,5.17,1.30,1.95,94.93,14.10,14.03,5.87,2.77,1.19,1003,f
5.26,112.01,260.06,30.68,43.55,63.96,26.91,29.65,13.72,5.17,1.96,1.95,94.93,14.10,14.03,5.87,2.77,1.19,997,f
5.26,112.01,260.91,30.68,43.55,63.96,26.91,29.65,13.72,5.17,1.30,1.95,94.93,14.10,14.03,5.87,2.77,1.19,1023,f
5.26,111.06,260.06,30.68,43.55,63.96,26.91,29.65,13.72,5.17,1.30,1.95,94.93,14.10,14.03,5.87,2.77,1.19,1008,f
5.26,111.06,260.91,30.68,43.55,63.96,26.91,29.65,13.72,5.17,1.96,1.95,94.93,14.10,14.03,5.87,2.77,1.19,730,f
5.26,111.06,260.91,30.68,43.55,63.96,26.91,29.65,13.72,5.17,1.30,1.95,94.93,14.10,14.03,5.87,2.77,1.19,1023,f
5.26,112.01,260.91,30.68,43.55,63.96,26.91,29.65,13.72,5.17,1.96,1.95,94.93,14.10,14.03,5.87,2.77,1.19,1023,f
5.26,111.06,260.06,30.68,43.55,63.96,26.91,29.65,13.72,5.17,1.96,1.95,94.93,14.10,14.03,5.87,2.77,1.19,990,f
5.26,111.06,260.06,30.68,43.55,63.37,26.91,29.65,13.72,5.17,1.96,1.95,94.93,14.10,14.03,5.87,2.77,1.19,961,f
5.26,111.06,260.06,30.68,43.55,63.37,26.91,29.65,13.72,5.17,1.96,1.95,94.93,14.10,14.03,5.87,2.77,1.19,1004,f
5.26,111.06,260.06,30.68,43.55,63.96,26.91,29.65,13.72,5.17,1.96,1.95,94.93,14.10,14.03,5.87,2.77,1.19,892,f
5.26,111.06,259.20,30.68,43.55,63.37,26.91,29.65,13.72,5.17,1.30,1.95,94.93,14.10,14.03,5.87,2.77,1.19,1023,f
5.26,111.06,260.06,30.68,43.55,63.37,26.91,29.65,13.72,5.17,1.96,1.95,94.93,14.10,14.03,5.87,2.77,1.19,1023,f
5.26,111.06,260.06,30.68,43.55,63.37,26.91,29.65,13.72,5.17,1.96,1.95,94.93,14.10,14.03,5.87,2.77,1.19,1023,f
5.26,111.06,260.06,30.68,43.55,63.37,26.91,29.65,13.72,5.17,1.96,1.95,94.93,14.10,14.03,5.87,2.77,1.19,998,f
5.26,111.06,260.06,30.68,43.55,63.37,26.91,29.65,13.72,5.17,1.96,1.95,94.93,14.10,14.03,5.87,2.77,1.19,700,f
5.26,111.06,260.06,30.68,43.55,63.37,26.91,29.65,13.72,5.17,1.96,1.95,94.93,14.10,14.03,5.87,2.77,1.19,1007,f
