A,B,C,D,E,F,G,H,I,J,K,L,R,S,T,U,V,W,Res,Stage,Interval
172.69,292.87,144.95,88.11,95.02,58.24,18.21,28.77,15.14,14.71,175.78,29.50,25.51,59.97,92.05,154.42,1332.76,5435.50,768,Settling, 10
172.69,291.89,144.95,87.18,95.02,58.24,18.21,28.77,15.14,14.71,175.14,29.50,25.51,59.97,92.05,153.63,1331.03,5424.38,831,Settling, 10
171.83,291.89,143.98,87.18,95.02,58.24,18.21,28.77,15.14,14.71,175.14,29.50,25.51,59.97,92.05,153.63,1328.44,5407.69,869,Settling, 10
171.83,291.89,143.98,87.18,95.02,58.24,18.21,28.77,15.14,14.71,174.49,29.50,25.51,59.97,92.05,153.63,1325.85,5403.24,701,Settling, 10
171.83,291.89,143.98,87.18,94.26,58.24,18.21,28.77,15.14,14.71,173.84,29.50,25.51,57.94,91.26,153.63,1324.13,5393.22,1004,Settling, 10
170.98,290.91,143.01,87.18,94.26,58.24,18.21,28.77,15.14,14.71,173.84,29.50,25.51,59.97,92.05,153.63,1321.54,5380.98,1023,Settling, 10
170.98,290.91,143.01,87.18,94.26,57.53,18.21,28.77,15.14,14.71,173.20,28.51,25.51,57.94,91.26,152.83,1319.81,5369.85,822,Settling, 10
170.12,290.91,143.01,87.18,93.50,57.53,18.21,28.77,15.14,14.71,173.20,28.51,25.51,57.94,91.26,152.83,1317.22,5359.84,706,Settling, 10
170.12,290.91,143.01,87.18,93.50,57.53,18.21,28.77,15.14,14.71,172.55,28.51,25.51,57.94,91.26,152.83,1315.49,5348.71,820,Settling, 10
170.12,289.93,142.05,86.24,93.50,57.53,18.21,28.77,15.14,14.26,172.55,28.51,25.51,57.94,91.26,152.83,1312.91,5338.70,1023,Settling, 10
170.12,289.93,142.05,86.24,93.50,57.53,18.21,28.22,15.14,14.26,171.91,28.51,25.51,58.95,91.26,152.04,1310.32,5327.57,1000,Settling, 10
169.27,289.93,142.05,86.24,92.74,57.53,18.21,28.22,15.14,14.26,171.26,28.51,25.51,59.97,91.26,152.04,1308.59,5316.45,907,Settling, 10
169.27,289.93,141.08,86.24,92.74,56.82,17.64,28.22,15.14,14.26,171.26,28.51,25.51,57.94,91.26,152.04,1306.00,5306.43,1023,Settling, 10
169.27,288.95,141.08,86.24,92.74,56.82,17.64,28.22,15.14,14.26,170.61,28.51,25.51,58.95,91.26,152.04,1304.27,5295.30,963,Settling, 10
168.41,288.95,141.08,86.24,92.74,56.82,17.64,28.22,15.14,14.26,170.61,28.51,25.51,58.95,91.26,151.25,1301.68,5284.18,658,Settling, 10
