A,B,C,D,E,F,G,H,I,J,K,L,R,S,T,U,V,W,Res,f
7.01,64.55,175.95,61.37,77.34,126.15,113.01,111.35,53.92,16.92,3.26,3.91,212.72,33.63,20.17,9.23,9.22,4.77,315,f
7.01,64.55,176.80,61.37,77.34,126.74,114.80,113.02,54.86,16.92,3.91,3.91,217.30,34.72,20.17,9.23,9.22,4.77,336,f
7.01,64.55,177.66,62.20,77.99,127.92,115.40,114.14,55.33,17.39,3.91,3.91,219.59,34.72,21.04,10.07,9.22,4.77,345,f
7.01,66.45,181.95,63.03,79.29,130.89,113.60,113.58,55.33,16.92,3.91,3.91,219.59,34.72,21.04,10.07,9.22,4.77,381,f
7.01,66.45,181.95,63.03,79.94,131.48,110.02,111.35,55.81,16.92,3.91,3.91,213.87,34.72,21.04,10.07,8.30,4.77,345,f
7.01,66.45,183.67,63.86,81.24,133.25,98.06,101.83,52.02,15.51,3.26,3.91,190.99,32.55,20.17,9.23,7.38,4.77,337,f
7.01,68.35,187.96,65.52,82.54,135.62,69.96,74.98,41.62,11.28,2.61,2.93,155.54,29.29,17.54,8.39,7.38,3.57,348,f
7.89,69.30,193.97,67.17,84.49,139.18,59.19,57.63,29.32,8.93,1.96,1.95,146.39,29.29,14.91,7.55,6.46,3.57,354,f
7.01,68.35,192.25,62.20,78.64,129.70,58.00,55.95,27.90,8.93,1.96,1.95,139.53,28.21,14.91,7.55,6.46,3.57,342,f
3.50,29.43,85.83,32.34,39.00,65.15,60.99,59.31,29.32,8.93,1.96,1.95,133.81,27.12,14.03,7.55,6.46,3.57,335,f
3.50,26.58,83.25,29.03,40.30,70.48,60.99,59.87,30.27,8.93,1.96,1.95,132.67,26.04,13.15,6.71,6.46,3.57,348,f
3.50,29.43,90.98,34.00,44.20,75.21,62.78,61.55,30.27,9.40,1.96,1.95,133.81,27.12,13.15,6.71,6.46,3.57,356,f
3.50,29.43,87.54,35.66,44.20,70.48,63.98,62.67,31.21,9.40,1.96,1.95,134.95,27.12,14.03,6.71,6.46,3.57,363,f
3.50,30.38,92.69,38.15,46.80,75.81,63.98,62.67,31.21,9.40,1.96,1.95,134.95,26.04,14.03,6.71,6.46,3.57,372,f
3.50,30.38,94.41,38.15,47.45,77.58,63.98,62.67,31.21,9.40,1.96,1.95,134.95,26.04,14.03,6.71,6.46,3.57,1015,f
3.50,30.38,95.27,38.15,47.45,77.58,63.38,62.67,31.21,9.40,1.96,1.95,134.95,26.04,14.03,6.71,6.46,3.57,1023,f
3.50,30.38,96.13,38.15,47.45,77.58,63.38,62.11,30.74,9.40,1.96,1.95,134.95,26.04,14.03,6.71,6.46,3.57,998,f
3.50,31.33,96.98,38.15,47.45,78.18,63.38,62.11,30.74,9.40,1.96,1.95,134.95,26.04,14.03,6.71,6.46,3.57,990,f
3.50,31.33,97.84,38.98,47.45,77.58,63.38,62.11,30.74,9.40,1.96,1.95,133.81,26.04,14.03,6.71,6.46,3.57,587,f
3.50,31.33,96.98,38.98,47.45,77.58,63.38,62.11,30.74,9.40,1.96,1.95,133.81,26.04,13.15,6.71,6.46,3.57,1023,f
3.50,31.33,97.84,38.98,47.45,77.58,63.38,62.11,30.74,9.40,1.96,1.95,133.81,26.04,14.03,6.71,6.46,3.57,988,f
3.50,31.33,97.84,38.98,47.45,77.58,63.38,62.11,30.74,9.40,1.96,1.95,133.81,26.04,13.15,6.71,5.53,3.57,1023,f
3.50,31.33,98.70,38.98,47.45,77.58,63.38,62.11,30.74,9.40,1.96,1.95,132.67,26.04,13.15,6.71,6.46,3.57,1023,f
3.50,31.33,98.70,38.98,47.45,77.58,62.78,61.55,30.74,9.40,1.96,1.95,131.52,26.04,13.15,6.71,5.53,3.57,604,f
3.50,31.33,99.56,38.98,47.45,77.58,62.78,61.55,30.27,9.40,1.96,1.95,131.52,24.95,13.15,6.71,5.53,3.57,1023,f
3.50,31.33,99.56,38.98,47.45,77.58,62.18,60.99,30.27,8.93,1.96,1.95,130.38,24.95,13.15,6.71,5.53,3.57,566,f
