A,B,C,D,E,F,G,H,I,J,K,L,R,S,T,U,V,W,Res,f
5.26,126.25,310.69,38.15,60.45,94.76,32.89,37.49,17.50,6.58,2.61,2.93,108.65,17.36,16.66,6.71,3.69,1.19,1023,f
5.26,126.25,310.69,38.15,60.45,95.35,32.89,37.49,17.50,6.58,2.61,2.93,108.65,17.36,16.66,7.55,3.69,1.19,1023,f
6.13,126.25,310.69,38.15,60.45,95.35,32.89,37.49,17.50,6.58,2.61,2.93,108.65,17.36,16.66,6.71,3.69,1.19,1002,f
5.26,126.25,308.12,38.15,60.45,95.35,32.89,36.93,17.50,6.58,2.61,2.93,108.65,17.36,16.66,6.71,3.69,1.19,1018,f
5.26,126.25,307.26,38.15,60.45,95.35,32.89,36.93,17.50,6.58,2.61,2.93,108.65,17.36,16.66,6.71,3.69,1.19,1023,f
6.13,126.25,307.26,38.15,60.45,95.35,32.29,36.93,17.50,6.58,2.61,2.93,108.65,17.36,16.66,6.71,3.69,1.19,1020,f
6.13,126.25,307.26,38.15,60.45,95.35,32.29,36.93,17.50,6.58,1.96,2.93,108.65,17.36,16.66,6.71,3.69,1.19,1005,f
6.13,126.25,308.12,38.15,60.45,94.76,32.29,36.93,17.50,6.58,1.96,2.93,108.65,17.36,16.66,6.71,3.69,1.19,1019,f
6.13,126.25,307.26,38.15,60.45,94.76,32.29,36.93,17.50,6.58,2.61,2.93,108.65,17.36,16.66,6.71,3.69,1.19,1023,f
6.13,126.25,306.40,38.15,60.45,94.76,32.29,36.93,17.50,6.58,2.61,2.93,108.65,17.36,16.66,6.71,3.69,1.19,703,f
5.26,126.25,306.40,38.15,60.45,94.76,32.29,36.93,17.03,6.58,1.96,2.93,108.65,17.36,16.66,6.71,3.69,1.19,1023,f
5.26,126.25,305.54,38.15,60.45,94.76,32.29,36.93,17.03,6.58,1.96,2.93,108.65,17.36,16.66,6.71,3.69,1.19,1023,f
5.26,125.30,305.54,38.15,60.45,94.17,32.29,36.93,17.03,6.58,1.96,2.93,108.65,17.36,16.66,6.71,3.69,1.19,1023,f
5.26,126.25,305.54,38.15,60.45,94.17,32.29,36.93,17.03,6.58,2.61,2.93,108.65,17.36,16.66,7.55,3.69,1.19,1023,f
6.13,126.25,305.54,38.15,60.45,94.76,32.29,36.93,17.03,6.58,2.61,2.93,108.65,17.36,16.66,6.71,3.69,1.19,918,f
5.26,126.25,305.54,38.15,60.45,94.17,32.29,36.93,17.03,6.58,2.61,2.93,108.65,17.36,16.66,6.71,3.69,1.19,1023,f
5.26,125.30,305.54,38.15,60.45,94.17,32.29,36.93,17.03,6.58,1.96,2.93,108.65,17.36,16.66,6.71,3.69,1.19,1023,f
5.26,126.25,305.54,38.15,60.45,94.17,32.29,36.93,17.03,6.58,1.96,2.93,108.65,17.36,16.66,6.71,3.69,1.19,1023,f
5.26,125.30,304.69,38.15,60.45,94.17,32.29,36.93,17.03,6.58,1.96,2.93,108.65,17.36,16.66,7.55,3.69,1.19,1006,f
5.26,125.30,304.69,38.15,60.45,94.17,32.29,36.93,17.03,6.58,1.96,2.93,108.65,17.36,16.66,6.71,3.69,1.19,837,f
5.26,125.30,304.69,38.15,60.45,94.17,32.29,36.37,17.03,6.58,1.96,2.93,108.65,17.36,16.66,7.55,3.69,1.19,1023,f
6.13,125.30,304.69,38.15,60.45,94.17,32.29,36.37,17.03,6.58,1.96,2.93,108.65,17.36,16.66,7.55,3.69,1.19,1005,f
5.26,125.30,304.69,38.15,60.45,94.17,32.29,36.93,17.03,6.58,1.96,2.93,108.65,17.36,16.66,7.55,3.69,1.19,1023,f
5.26,125.30,305.54,38.15,60.45,94.17,32.29,36.93,17.03,6.58,1.96,2.93,108.65,17.36,16.66,6.71,3.69,1.19,1023,f
5.26,126.25,305.54,38.15,60.45,94.76,32.29,36.93,17.03,6.58,1.96,2.93,108.65,17.36,16.66,7.55,3.69,1.19,1023,f
5.26,126.25,305.54,38.15,60.45,94.76,32.29,36.93,17.03,6.58,1.96,2.93,108.65,17.36,16.66,6.71,3.69,1.19,1023,f
5.26,126.25,305.54,38.15,60.45,94.76,32.29,36.93,17.03,6.58,2.61,2.93,108.65,17.36,16.66,7.55,3.69,1.19,1023,f
6.13,126.25,305.54,38.15,60.45,94.76,32.29,36.93,17.03,6.58,1.96,2.93,108.65,17.36,16.66,7.55,3.69,1.19,906,f
