A,B,C,D,E,F,G,H,I,J,K,L,R,S,T,U,V,W,Stage,Interval
14.39,186.15,240.27,42.33,79.59,165.38,39.04,38.95,21.41,5.34,1.59,1.68,38.35,15.96,3.92,2.52,2.58,2.21,Draining, 3
15.15,180.45,213.28,43.99,75.04,156.12,39.04,38.95,21.41,5.34,1.59,1.68,39.48,15.96,3.92,3.36,2.58,2.21,Draining, 3
15.15,184.25,215.02,44.82,75.80,144.87,39.04,38.95,21.78,5.34,1.59,1.68,39.48,15.96,3.92,3.36,2.58,2.21,Draining, 3
15.90,187.10,213.28,44.82,75.04,143.55,39.04,38.95,21.78,5.34,1.59,1.68,40.61,17.96,4.70,3.36,3.43,2.21,Draining, 3
17.42,198.49,222.86,47.31,78.07,147.52,39.04,39.35,22.15,5.34,1.59,1.68,40.61,16.96,3.92,3.36,3.43,2.21,Draining, 3
18.93,209.89,231.56,49.80,81.10,152.15,39.04,39.35,22.51,5.34,1.59,1.68,39.48,15.96,3.92,3.36,3.43,2.21,Draining, 3
20.45,223.19,242.88,53.12,84.14,156.12,39.47,39.35,23.25,5.34,1.59,1.68,40.61,16.96,3.92,3.36,3.43,2.21,Draining, 3
21.96,233.64,248.97,54.78,86.41,159.43,39.47,39.76,23.99,5.34,1.59,1.68,40.61,16.96,4.70,3.36,3.43,2.21,Draining, 3
24.23,251.68,260.29,58.93,90.20,164.72,39.47,40.17,25.47,5.68,1.59,1.68,40.61,16.96,4.70,3.36,3.43,2.21,Draining, 3
28.78,283.02,282.06,63.91,96.26,173.32,39.89,40.98,26.57,5.68,1.59,1.68,42.87,16.96,4.70,3.36,3.43,2.21,Draining, 3
34.08,316.26,302.08,68.89,102.33,181.26,39.89,41.79,27.31,5.68,1.59,1.68,43.99,16.96,4.70,3.36,3.43,2.21,Draining, 3
39.38,340.96,311.65,71.38,104.60,183.90,39.89,43.01,28.05,5.68,1.59,1.68,43.99,16.96,4.70,3.36,3.43,2.21,Draining, 3
48.47,396.04,334.29,77.19,109.91,188.53,39.89,44.63,29.16,5.68,1.59,2.51,43.99,16.96,4.70,3.36,3.43,2.21,Draining, 3
61.34,466.32,343.86,84.66,115.21,191.18,40.31,46.25,31.37,5.68,1.59,2.51,45.12,16.96,4.70,3.36,3.43,2.21,Draining, 3
81.79,626.83,373.46,101.27,125.83,193.16,40.74,49.09,33.22,5.68,2.12,2.51,45.12,16.96,4.70,3.36,3.43,2.21,Draining, 3
118.89,989.62,483.15,135.30,160.69,199.12,42.01,54.37,34.69,5.68,2.12,2.51,47.38,17.96,5.49,3.36,3.43,2.21,Draining, 3
174.93,1661.09,864.45,182.61,250.14,231.53,44.56,60.05,35.80,6.01,2.12,3.35,49.63,17.96,5.49,3.36,3.43,2.21,Draining, 3
204.47,2162.55,1407.66,229.92,389.61,404.85,47.53,55.99,35.43,6.68,2.65,3.35,53.02,17.96,5.49,3.36,3.43,2.21,Draining, 3
184.02,2494.01,2114.54,248.18,516.19,674.09,46.26,49.50,30.27,6.68,2.65,3.35,58.66,16.96,6.27,3.36,3.43,2.21,Draining, 3
73.46,1514.83,1965.68,136.96,470.71,945.31,43.71,44.63,22.88,6.68,2.65,3.35,82.35,16.96,9.40,4.20,3.43,3.32,Draining, 3
12.12,445.43,550.18,39.01,154.63,527.89,39.47,38.95,21.78,6.01,2.12,1.68,113.93,17.96,12.54,4.20,3.43,2.21,Draining, 3
9.84,137.71,398.71,29.05,63.67,414.11,42.44,42.19,23.25,6.35,2.12,1.68,95.88,19.95,14.10,6.73,4.29,2.21,Draining, 3
8.33,127.26,450.94,24.07,58.37,416.76,44.98,44.63,23.99,7.01,2.12,1.68,111.68,45.89,22.72,15.13,7.73,4.42,Draining, 3
8.33,121.57,445.72,22.41,56.09,412.79,45.83,45.44,24.73,7.01,2.12,1.68,53.02,106.75,6.27,7.57,5.15,4.42,Draining, 3
8.33,126.31,447.46,23.24,57.61,409.48,46.68,46.25,25.10,7.35,2.12,1.68,58.66,110.74,7.84,9.25,5.15,5.53,Draining, 3
8.33,126.31,440.49,23.24,57.61,404.19,47.10,46.66,25.47,7.35,2.12,1.68,59.79,109.74,7.84,9.25,5.15,5.53,Draining, 3
8.33,126.31,437.88,23.24,57.61,400.88,47.10,46.66,25.10,7.35,2.12,1.68,58.66,114.73,7.84,9.25,6.01,5.53,Draining, 3
8.33,126.31,437.01,23.24,58.37,398.23,47.10,46.66,25.47,7.35,2.12,1.68,58.66,109.74,7.84,9.25,5.15,5.53,Draining, 3
8.33,127.26,437.01,23.24,58.37,396.25,47.10,46.66,25.47,7.35,2.12,1.68,58.66,110.74,7.05,9.25,5.15,5.53,Draining, 3
8.33,128.21,436.14,23.24,58.37,393.60,47.10,46.66,25.47,7.35,2.12,1.68,59.79,115.73,7.84,9.25,5.15,5.53,Draining, 3
8.33,129.16,435.27,23.24,59.12,391.62,47.53,46.66,25.47,7.35,2.12,1.68,58.66,116.73,7.84,9.25,5.15,5.53,Draining, 3
8.33,128.21,433.53,23.24,58.37,390.30,47.53,47.06,25.47,7.35,2.12,1.68,58.66,117.72,7.84,9.25,5.15,4.42,Draining, 3
8.33,129.16,433.53,23.24,59.12,389.63,47.10,46.66,25.10,7.35,2.12,1.68,59.79,113.73,7.84,9.25,6.01,5.53,Draining, 3
8.33,129.16,433.53,23.24,59.12,390.30,47.53,47.47,25.47,7.35,2.12,1.68,58.66,142.67,7.05,9.25,5.15,5.53,Draining, 3
8.33,129.16,433.53,23.24,59.12,390.96,47.95,47.47,25.47,7.68,2.12,1.68,58.66,122.71,7.05,9.25,5.15,5.53,Draining, 3
8.33,130.11,435.27,24.07,59.12,391.62,47.95,47.47,25.47,7.35,2.12,1.68,59.79,125.71,7.84,9.25,5.15,5.53,Draining, 3
8.33,130.11,435.27,24.07,59.88,392.28,47.95,47.47,25.47,7.35,2.12,1.68,58.66,125.71,7.84,9.25,5.15,5.53,Draining, 3
8.33,130.11,436.14,24.07,59.88,393.60,47.95,47.47,25.47,7.35,2.12,1.68,58.66,124.71,7.84,9.25,5.15,5.53,Draining, 3
8.33,131.06,435.27,24.07,59.88,392.94,47.95,47.47,25.47,7.68,2.12,1.68,58.66,124.71,7.84,9.25,5.15,5.53,Draining, 3
8.33,130.11,436.14,23.24,59.88,394.27,47.95,47.47,25.47,7.35,2.12,1.68,58.66,123.71,7.84,9.25,6.01,5.53,Draining, 3
8.33,131.06,437.01,23.24,59.88,395.59,47.53,47.06,25.47,7.35,2.12,1.68,58.66,123.71,7.84,9.25,5.15,5.53,Draining, 3
8.33,131.06,437.01,23.24,59.88,395.59,47.95,47.47,25.84,7.68,2.12,1.68,58.66,122.71,7.84,9.25,5.15,5.53,Draining, 3
8.33,131.06,434.40,24.07,59.88,390.96,47.95,47.47,25.84,7.68,2.12,1.68,58.66,121.71,7.84,9.25,5.15,5.53,Draining, 3
