A,B,C,D,E,F,G,H,I,J,K,L,R,S,T,U,V,W,Res,f
5.26,53.16,125.31,48.93,50.05,73.44,72.95,67.14,27.90,11.75,2.61,2.93,94.93,32.55,13.15,8.39,5.53,3.57,311,f
5.26,52.21,125.31,48.93,50.05,73.44,72.95,67.14,27.90,11.75,2.61,2.93,93.78,32.55,13.15,8.39,5.53,3.57,310,f
5.26,52.21,125.31,48.93,50.05,73.44,72.95,67.14,27.90,11.75,2.61,2.93,94.93,32.55,13.15,8.39,5.53,3.57,309,f
5.26,52.21,125.31,48.93,50.05,73.44,72.95,67.14,27.90,11.75,2.61,2.93,94.93,32.55,13.15,8.39,5.53,3.57,312,f
5.26,52.21,125.31,48.93,50.05,73.44,72.95,67.14,27.90,11.75,2.61,2.93,94.93,32.55,13.15,8.39,5.53,3.57,310,f
5.26,52.21,125.31,48.93,50.05,73.44,72.95,67.14,27.90,11.75,2.61,2.93,93.78,32.55,13.15,8.39,5.53,3.57,308,f
5.26,52.21,125.31,48.93,50.05,73.44,72.95,67.14,27.90,11.75,2.61,2.93,93.78,32.55,13.15,8.39,5.53,3.57,310,f
5.26,52.21,125.31,48.93,50.05,73.44,72.95,67.14,27.90,11.75,2.61,2.93,94.93,32.55,13.15,8.39,5.53,3.57,308,f
5.26,52.21,125.31,48.93,50.05,73.44,72.95,67.14,27.90,11.75,2.61,2.93,94.93,32.55,13.15,8.39,5.53,3.57,309,f
5.26,52.21,125.31,48.93,50.05,73.44,72.95,67.14,27.90,11.75,2.61,2.93,94.93,32.55,13.15,8.39,5.53,3.57,309,f
5.26,52.21,125.31,48.93,50.05,73.44,72.95,67.14,27.90,11.75,2.61,2.93,93.78,32.55,13.15,8.39,5.53,3.57,307,f
5.26,52.21,125.31,48.93,50.05,73.44,72.95,67.14,27.90,11.75,2.61,2.93,93.78,32.55,13.15,8.39,5.53,3.57,305,f
5.26,52.21,125.31,48.93,50.05,73.44,72.95,66.58,27.90,11.75,2.61,2.93,93.78,32.55,13.15,8.39,5.53,3.57,309,f
5.26,52.21,125.31,48.93,50.05,73.44,72.35,66.58,27.90,11.75,2.61,2.93,94.93,32.55,13.15,8.39,5.53,3.57,309,f
5.26,52.21,125.31,48.93,50.05,73.44,72.35,66.58,27.90,11.75,2.61,2.93,93.78,32.55,13.15,8.39,5.53,3.57,311,f
5.26,52.21,125.31,48.93,50.05,73.44,72.35,66.58,27.90,11.75,2.61,2.93,93.78,32.55,13.15,8.39,5.53,3.57,308,f
5.26,52.21,125.31,48.93,50.05,73.44,72.35,66.58,27.90,11.75,2.61,2.93,93.78,32.55,13.15,8.39,5.53,3.57,306,f
5.26,52.21,125.31,48.93,50.05,73.44,72.35,66.58,27.90,11.75,2.61,2.93,93.78,32.55,13.15,8.39,5.53,3.57,307,f
5.26,52.21,125.31,48.93,50.05,73.44,72.35,66.58,27.43,11.75,2.61,2.93,93.78,32.55,13.15,8.39,5.53,3.57,304,f
5.26,52.21,125.31,48.93,50.05,73.44,72.35,66.58,27.43,11.75,2.61,2.93,93.78,32.55,13.15,9.23,5.53,3.57,306,f
5.26,52.21,125.31,48.93,50.05,73.44,72.35,66.58,27.43,11.75,2.61,2.93,93.78,32.55,13.15,9.23,5.53,3.57,306,f
5.26,52.21,125.31,48.93,50.05,73.44,72.35,66.58,27.43,11.75,2.61,2.93,93.78,32.55,13.15,8.39,5.53,3.57,306,f
5.26,52.21,125.31,48.93,50.05,73.44,71.75,66.58,27.43,11.75,2.61,2.93,93.78,32.55,13.15,8.39,5.53,3.57,305,f
5.26,52.21,124.45,48.93,50.05,73.44,71.75,66.58,27.43,11.75,2.61,2.93,93.78,32.55,13.15,8.39,5.53,3.57,305,f
5.26,52.21,124.45,48.93,50.05,73.44,71.75,66.02,27.43,11.75,2.61,2.93,93.78,32.55,13.15,8.39,5.53,3.57,305,f
5.26,52.21,124.45,48.93,50.05,73.44,71.75,66.02,27.43,11.75,2.61,2.93,92.64,31.46,13.15,8.39,5.53,3.57,306,f
5.26,52.21,124.45,48.93,50.05,73.44,71.75,66.02,27.43,11.75,2.61,2.93,92.64,32.55,13.15,8.39,5.53,3.57,305,f
5.26,52.21,124.45,48.93,50.05,73.44,71.75,66.02,27.43,11.75,2.61,2.93,92.64,32.55,13.15,8.39,5.53,3.57,310,f
5.26,52.21,124.45,48.93,50.05,73.44,71.75,66.02,27.43,11.75,2.61,2.93,92.64,31.46,13.15,8.39,5.53,3.57,305,f
5.26,52.21,124.45,48.93,49.40,72.85,71.15,66.02,27.43,11.75,2.61,2.93,92.64,31.46,13.15,8.39,5.53,3.57,305,f
5.26,52.21,124.45,48.93,50.05,72.85,71.15,65.46,27.43,11.75,2.61,2.93,92.64,31.46,13.15,8.39,5.53,3.57,304,f
5.26,52.21,124.45,48.93,49.40,72.85,70.55,65.46,27.43,11.28,2.61,2.93,92.64,31.46,13.15,8.39,5.53,3.57,304,f
5.26,52.21,123.59,48.10,49.40,72.85,70.55,65.46,27.43,11.28,2.61,2.93,92.64,31.46,13.15,8.39,5.53,3.57,307,f
5.26,52.21,123.59,48.10,49.40,72.85,70.55,65.46,27.43,11.28,2.61,2.93,92.64,31.46,13.15,8.39,5.53,3.57,304,f
5.26,51.26,123.59,48.10,49.40,72.85,69.96,64.91,27.43,11.28,2.61,2.93,91.49,31.46,13.15,8.39,5.53,3.57,298,f
5.26,51.26,123.59,48.10,49.40,72.85,69.36,64.91,27.43,11.28,2.61,2.93,91.49,31.46,13.15,8.39,5.53,3.57,305,f
5.26,51.26,122.73,48.10,49.40,72.85,68.16,64.35,27.43,11.28,2.61,2.93,91.49,31.46,13.15,8.39,5.53,3.57,305,f
5.26,51.26,121.87,48.10,49.40,72.85,65.77,62.67,26.96,11.28,2.61,2.93,89.21,31.46,12.28,8.39,5.53,3.57,304,f
5.26,51.26,121.87,48.10,49.40,72.85,59.79,58.75,26.01,10.34,2.61,2.93,86.92,30.38,12.28,8.39,5.53,3.57,306,f
5.26,50.31,121.02,48.10,49.40,72.25,57.40,53.16,23.65,9.40,1.96,1.95,77.77,26.04,11.40,7.55,4.61,3.57,302,f
5.26,50.31,119.30,48.10,48.75,72.25,66.37,55.95,22.23,9.87,1.96,1.95,80.06,27.12,10.52,7.55,5.53,3.57,305,f
5.26,48.41,115.87,46.44,47.45,69.88,72.95,63.23,24.59,11.28,2.61,1.95,93.78,31.46,13.15,8.39,5.53,3.57,308,f
3.50,27.53,71.24,28.20,30.55,46.79,75.34,66.02,26.01,11.75,2.61,2.93,100.64,33.63,14.03,9.23,6.46,3.57,304,f
4.38,39.87,109.00,41.47,49.40,77.58,76.53,67.14,26.48,12.22,2.61,2.93,105.22,34.72,14.03,10.07,6.46,3.57,304,f
4.38,43.67,117.58,45.61,52.65,81.73,77.13,67.14,26.48,12.22,2.61,2.93,106.36,34.72,14.91,10.07,6.46,3.57,304,f
4.38,43.67,119.30,45.61,53.30,82.32,77.13,67.70,26.48,12.22,2.61,2.93,106.36,34.72,14.91,10.07,6.46,3.57,303,f
4.38,44.61,119.30,45.61,53.30,82.91,77.73,67.70,26.48,12.22,2.61,2.93,106.36,34.72,14.91,10.07,6.46,4.77,303,f
4.38,44.61,121.02,46.44,53.95,83.51,77.73,67.70,26.96,12.22,2.61,2.93,107.51,35.80,14.91,10.07,6.46,4.77,1023,f
4.38,44.61,121.87,46.44,53.95,84.10,77.73,67.70,26.48,12.22,2.61,2.93,108.65,35.80,14.91,10.07,6.46,4.77,1023,f
4.38,45.56,122.73,47.27,54.60,84.10,77.73,67.70,26.48,12.22,2.61,2.93,108.65,35.80,14.91,10.07,6.46,4.77,1023,f
4.38,45.56,123.59,47.27,54.60,84.10,77.73,67.70,26.48,12.22,2.61,2.93,108.65,35.80,14.91,10.07,6.46,4.77,1023,f
